customer_id,customer_name,email,country,signup_date,customer_segment,lifetime_value
1,Donald Walker,rhodespatricia@example.org,UA,2023-11-01,Basic,645.52
2,Daniel Wagner,hoffmanjennifer@example.net,ST,2022-07-13,Basic,1447.64
3,Donald Booth,helenpeterson@example.org,GM,2022-07-08,Premium,783.74
4,Brandon Davis,cassandra07@example.net,CM,2025-09-28,Premium,3415.83
5,Juan Calderon,barbara10@example.net,GT,2025-11-02,Basic,526.0
6,Dr. Sharon James,xreid@example.org,MN,2024-08-20,Standard,255.74
7,Mia Sutton,lynchgeorge@example.net,HN,2022-02-17,Premium,1171.33
8,William Bowman,gabriellecameron@example.org,GT,2020-12-24,Basic,3049.89
9,Jennifer Jones,jason76@example.net,PK,2024-12-05,Basic,1074.3
10,Patrick Ryan,zhurst@example.com,GN,2020-11-09,Basic,3536.49
11,Johnny Campos,hernandezernest@example.net,NO,2025-12-25,Standard,1180.16
12,A,tasha01@example.net,SO,2023-07-30,Basic,1463.13
13,Gina Carter,shawnmckay@example.net,IN,2024-07-03,Premium,3818.16
14,Katie Rodriguez,meagan89@example.org,DE,2025-10-30,Invalid,3520.88
15,Troy Nielsen,georgetracy@example.org,ML,2022-03-30,Standard,1461.57
16,Elizabeth Brown,millertodd@example.org,PS,2025-04-09,Premium,4790.34
17,Matthew Arroyo,josephbrennan@example.com,GH,2023-03-13,Standard,600.83
18,Melissa Marquez,pcarney@example.com,OM,2025-07-28,Standard,573.91
19,David Brown,chapmanjerry@example.org,AF,2025-05-25,Standard,3058.26
20,Crystal Whitehead,chad34@example.net,RU,2020-06-04,Premium,3675.69
21,Timothy Duncan,esanchez@example.com,ET,2021-04-14,Basic,711.65
22,Heather Jenkins,nuneztracey@example.org,BH,2020-07-25,Standard,486.12
23,Scott Wright,amandataylor@example.org,IT,2022-06-01,Standard,4164.08
24,Angela Morton,williamsyvette@example.org,BW,2022-10-10,Basic,4438.71
25,Carol Tucker,michellebarrera@example.org,MU,2025-07-22,Standard,2929.03
26,Timothy Glover,rodney87@example.org,ET,2020-01-05,Basic,440.82
27,Lauren Daniels,brian97@example.net,SM,2021-10-12,Basic,1216.7
28,Angela Lopez,leonardjoe@example.org,TN,2020-12-10,Standard,4927.59
29,Lisa Barnes,sarah35@example.org,IN,2021-06-23,Premium,4345.77
30,Elizabeth Stewart,smithchristine@example.net,BZ,2022-05-17,Standard,1462.07
31,Derek Mahoney,suarezmike@example.org,OM,2020-06-09,Basic,4187.14
32,Lisa Archer,contrerasangela@example.net,CA,2024-12-31,Premium,1913.89
33,Brian Rodriguez,josephjacobs@example.net,LV,2025-08-19,Premium,3383.86
34,Deborah Freeman,davisrodney@example.com,BD,2021-03-22,Basic,4689.61
35,Mandy Green,barnold@example.net,AG,2020-01-08,Basic,449.87
36,Melissa Hernandez,davenportbrandi@example.org,NR,2020-09-02,Basic,938.58
37,Steven Flynn,nolanjason@example.org,TL,2020-10-06,Basic,1299.57
38,Stacey Russell,sarayoung@example.org,EE,2020-08-13,Standard,1959.33
39,Norman Cook,vpham@example.org,IQ,2025-04-15,Basic,3471.99
40,Janet Williams,dwalker@example.com,KP,2020-12-14,Premium,3454.61
41,Courtney Keller,emurphy@example.com,MG,2024-12-02,Premium,1222.34
42,William Herrera,wilsontara@example.org,TT,2023-11-06,Premium,4044.72
43,Brian Hamilton,samuel81@example.com,TR,2025-10-09,Standard,1411.93
44,Jeffrey Meyer,michaeljones@example.net,LS,2021-02-20,Premium,4574.37
45,Belinda Mccullough,elizabeth56@example.net,KE,2023-09-27,Basic,4394.2
46,Maurice Gray,christinaturner@example.net,AD,2023-04-29,Standard,1141.87
47,Richard Lawson,steven73@example.net,PY,2021-10-27,Standard,2038.6
48,Nancy Hopkins,zachary95@example.org,GB,2024-10-05,Basic,2348.37
49,Robert Hernandez,sanchezthomas@example.org,PH,2021-05-29,Standard,784.19
50,Cheyenne Horton,jross@example.net,FM,2022-06-27,Basic,2850.7
51,Patricia Rodriguez,zrobinson@example.net,SI,2020-01-13,Standard,3760.37
52,Sylvia Martinez,lauriecontreras@example.net,UG,2022-10-14,Standard,4499.33
53,Jessica Briggs,jrivas@example.com,DJ,2021-11-26,Standard,1873.78
54,David Wright,katie87@example.net,GY,2024-06-17,Premium,2596.68
55,Dustin Nelson,patricia12@example.org,HT,2021-08-24,Premium,3803.33
56,Daniel Perry,amy60@example.org,NL,2022-04-19,Premium,848.92
57,Theresa Smith,wwoods@example.com,GB,2022-05-03,Premium,3981.19
58,Sara Medina,tracynelson@example.com,AT,2022-05-04,Standard,3022.4
59,Rebecca Ramsey,ncalhoun@example.net,AR,2022-05-01,Standard,1969.93
60,Mary Miller,dtaylor@example.org,BE,2025-06-10,Standard,2692.66
61,Jesse Rogers,aramirez@example.com,BR,2021-07-24,Basic,4317.82
62,Amy Crane,debraharrington@example.net,BB,2022-10-27,Premium,3433.39
63,Christina Smith,johnwells@example.org,TM,2024-07-10,Premium,3440.38
64,David Wood,stricklandfrank@example.com,CD,2025-09-07,Basic,3779.3
65,Laura Odonnell,tsanders@example.org,BO,2023-06-21,Basic,1766.86
66,Dana Terry,melissa91@example.net,BB,2023-07-21,Standard,2230.35
67,Jacob Hunter,alexander67@example.org,NR,2022-01-30,Standard,115.9
68,Sandra Zimmerman,hthompson@example.net,IR,2025-10-06,Basic,4391.68
69,Patricia Marshall,marcus31@example.com,PG,2023-09-11,Standard,4862.25
70,Leonard Gray,snydermark@example.com,GH,2021-06-18,Premium,2587.64
71,Douglas Carlson,angela83@example.org,GY,2022-02-16,Premium,4365.54
72,Peter Vaughn DDS,bwest@example.org,KE,2024-04-26,Standard,4224.18
73,Elizabeth Perkins,wtran@example.com,CH,2021-04-30,Basic,3083.95
74,Jesse Parker,davidlee@example.org,CH,2023-04-20,Premium,1932.18
75,Cathy Robinson,lhill@example.net,UG,2023-03-20,Premium,2742.96
76,Cory Perez,kevinerickson@example.org,IS,2021-09-12,Basic,4600.62
77,Edgar Raymond,agarcia@example.net,JM,2020-04-09,Basic,1688.36
78,Cody Williams,ewilson@example.com,RW,2022-10-25,Premium,648.15
79,Amy Hernandez,christopher31@example.net,NI,2020-06-11,Standard,4405.74
80,Courtney Mills,tkerr@example.net,NP,2023-08-21,Standard,1273.32
81,Lisa Singh,colleenbaker@example.org,DJ,2021-10-31,Premium,4402.25
